"","Time","Time.Code","Country.Name","Country.Code","EG.CFT.ACCS.ZS","EN.ATM.CO2E.KD.GD","SL.AGR.EMPL.ZS","SL.AGR.EMPL.FE.ZS","SL.AGR.EMPL.MA.ZS","SL.SRV.EMPL.ZS","SL.SRV.EMPL.FE.ZS","NY.GDP.MKTP.PP.KD","NY.GDP.MKTP.PP.CD","NY.GNP.PCAP.KD","NY.GNP.MKTP.PC.CD","NY.GNP.PCAP.PP.CD","NY.GNP.MKTP.PP.CD","IT.NET.USER.ZS","NV.IND.MANF.ZS","NV.IND.MANF.CD","SH.ANM.ALLW.ZS","SP.URB.TOTL","Happiness_score"
"54",2015,"YR2015","East Asia & Pacific (IDA & IBRD)","TEA",65.08085759,0.844795439,30.64935964,27.64984974,32.95311345,42.46350669,49.0536228,2.38e+13,2.41e+13,6538.584811,6538.584811,11819.83173,2.39e+13,44.15290412,27.54738661,3.67e+12,18.39870545,1063159933,NA
"122",2015,"YR2015","Malawi","MWI",2,0.188288084,77.29000092,83.26000214,71.77999878,17.09000015,13.72999954,24406343866,24209275404,367.4724167,367.4724167,1410,23620893413,6,9.60125083,611908131.6,30.4,2731662,4.292
"10",2015,"YR2015","Azerbaijan","AZE",95.9,0.606130599,36.36000061,42.06000137,30.97999954,49.58000183,52.06000137,1.43e+11,1.44e+11,5324.438009,5324.438009,14460,1.4e+11,77,4.990621552,2648740972,34.6,5279540,5.212
"17",2015,"YR2015","Belize","BLZ",82.9,0.383341825,18.07999992,4.579999924,25.89999962,66.5,87.43000031,2632170826,2630697756,4540.73821,4540.73821,6890,2485914768,41.59,7.076236449,122724617.9,20.6,163882,NA
"192",2015,"YR2015","Switzerland","CHE",100,0.055586446,3.440000057,2.869999886,3.930000067,75.80999756,87.02999878,5.63e+11,5.47e+11,85819.60741,85819.60741,66830,5.54e+11,87.4790556,17.47439619,1.23e+11,10.1,6105617,7.587
"145",2015,"YR2015","Niger","NER",1.7,0.203395194,73.76999664,71.66999817,75.31999969,19.26000023,18.64999962,22632265447,22908092689,508.0548548,508.0548548,1200,24039021556,2.476219975,7.625755954,738468132.5,49.3,3249670,3.845
"117",2015,"YR2015","Low & middle income","LMY",55.82827539,0.751173223,34.54486445,34.1226925,34.82074678,42.28418071,48.15359747,5.71e+13,5.65e+13,4309.741189,4309.741189,9127.725061,5.57e+13,32.59002605,20.49988328,5.47e+12,31.60399877,2960881821,NA
"135",2015,"YR2015","Mongolia","MNG",44.15,1.472387966,28.45000076,26.95000076,29.71999931,51.25999832,60.13999939,33011892666,31928136101,3552.674161,3552.674161,9760,29269896450,22.50000413,7.015505837,815194229.3,14.1,2045831,4.874
"152",2015,"YR2015","Other small states","OSS",57.25486951,0.501591819,20.19135213,24.13045009,17.93956641,54.68435842,66.11595899,6.56e+11,6.28e+11,12425.48199,12425.48199,21104.66046,6.11e+11,44.09641738,10.8114317,40000987001,32.69937799,17541694,NA
"16",2015,"YR2015","Belgium","BEL",100,0.205993868,1.179999948,0.730000019,1.559999943,77.38999939,90.91000366,5.58e+11,5.21e+11,41588.66993,41588.66993,46850,5.28e+11,85.05294175,12.69333388,58685798178,12,11034732,6.937
"28",2015,"YR2015","Cabo Verde","CPV",75.5,0.313126196,14.53999996,8.619999886,18.93000031,63.15000153,79.08999634,3288483544,3145505183,2930.483726,2930.483726,5770,3029167496,42.68301416,6.546492931,104534417.9,25.8,337408,NA
"98",2015,"YR2015","Jamaica","JAM",85.4,0.513780598,17.75,7.929999828,25.12999916,67.31999969,86.40000153,27386977365,25418047672,4755.365857,4755.365857,8520,24627934734,42.22122119,7.957150699,1129035016,19.4,1585235,5.709
"130",2015,"YR2015","Middle East & North Africa","MEA",96.061914,0.807031511,17.13796698,22.29256586,15.99844733,56.1267032,64.93757547,6.9e+12,6.91e+12,7388.681977,7388.681977,16239.40414,6.92e+12,44.84419742,12.13574887,3.81e+11,29.76553904,274105309,NA
"116",2015,"YR2015","Lithuania","LTU",100,0.267269464,9.069999695,6.630000114,11.60999966,65.86000061,76.91000366,89320742946,83761417312,13749.37222,13749.37222,27790,80739607678,71.37805901,17.21172275,7131769120,19.1,1952971,5.833
"199",2015,"YR2015","Trinidad and Tobago","TTO",100,0.851767658,3.430000067,1.379999995,4.889999866,68.63999939,85.68000031,41410510485,37892047971,18070.32992,18070.32992,27180,37246463784,65.1,15.66480513,3946207429,17.4,730647,6.168
"96",2015,"YR2015","Israel","ISR",100,0.22037668,1.019999981,0.600000024,1.389999986,81.41000366,91.41000366,3.13e+11,2.97e+11,35501.23822,35501.23822,35170,2.95e+11,77.35208966,12.70076964,38112250847,11.9,7724692,7.278
"79",2015,"YR2015","Guyana","GUY",72.8,0.478989828,16.92000008,7.869999886,22.18000031,57.99000168,80.76000214,8642661275,8593945844,5609.007261,5609.007261,11260,8643537726,34,5.939100711,254184019.4,32.7,202917,NA
"190",2015,"YR2015","Suriname","SUR",91.2,0.536450186,7.690000057,4.5,9.520000458,67.23000336,87.43000031,10800860589,9622881718,9144.263119,9144.263119,17170,9597718830,42.76382778,11.49300599,589164983.8,20.2,369343,6.269
"202",2015,"YR2015","Turkmenistan","TKM",99.9,2.01342389,24.52000046,22.60000038,25.90999985,37.81000137,42.81000137,72312681690,76192141990,6056.408735,6056.408735,12890,71735322173,14.99677482,NA,NA,25.4,2800283,5.548
"77",2015,"YR2015","Guinea","GIN",1,0.288826646,63.97999954,65.94000244,61.59000015,30.43000031,32.08000183,23869472746,20799124961,756.7255489,756.7255489,1790,20460340883,9.2,12.11873629,1065746203,49.9,4017353,3.656
"19",2015,"YR2015","Bhutan","BTN",75,0.47913798,58,66.30000305,52.29000092,32.34999847,24.45999908,7341501097,6915381146,2556.478772,2556.478772,8820,6422593662,39.8,8.202847606,164352108,38.8,281531,5.253
"165",2015,"YR2015","Russian Federation","RUS",92.3,1.142318762,6.710000038,5.110000134,8.220000267,66.01000214,78.83000183,3.73e+12,3.53e+12,9055.176758,9055.176758,23420,3.43e+12,70.09924123,12.38301887,1.69e+11,20.1,106703732,NA
